Year,ROE,ROA,Current_Ratio,Debt_to_Equity,Free_Cash_Flow_Billions,Operating_Cash_Flow_Billions,Gross_Margin,Operating_Margin,Net_Margin
2004,0.072,0.068,11,0,0.4,1,0.60,0.13,0.13
2005,0.152,0.141,9,0,1.2,2,0.60,0.24,0.24
2006,0.186,0.169,10,0,2.5,3,0.60,0.29,0.29
2007,0.191,0.173,10,0,3.7,4,0.59,0.25,0.25
2008,0.182,0.165,9,0,4.1,5,0.59,0.19,0.19
2009,0.181,0.164,11,0,5.5,7,0.64,0.28,0.28
2010,0.185,0.168,10,0,7,8,0.65,0.29,0.29
2011,0.182,0.165,6,0,8.1,10,0.65,0.26,0.26
2012,0.179,0.162,5,0,8.7,11,0.65,0.21,0.21
2013,0.170,0.154,5,0,11.3,13,0.60,0.23,0.23
2014,0.149,0.135,5,0,12.5,14,0.62,0.22,0.22
2015,0.144,0.131,5,0,14.2,16,0.62,0.22,0.22
2016,0.147,0.134,5,0.02,16.4,19,0.62,0.22,0.22
2017,0.123,0.112,4,0.02,10.5,13,0.57,0.11,0.11
2018,0.166,0.151,3,0.03,22.8,31,0.56,0.23,0.23
2019,0.177,0.161,3,0.04,23.7,34,0.56,0.21,0.21
2020,0.179,0.163,3,0.05,29.6,40,0.56,0.22,0.22
2021,0.306,0.278,3,0.06,50.6,76,0.57,0.30,0.30
2022,0.212,0.193,3,0.07,39.7,60,0.55,0.21,0.21
2023,0.245,0.223,3,0.08,49.2,74,0.57,0.24,0.24
2024,0.278,0.253,3,0.09,62.5,89,0.58,0.26,0.26
2025,0.292,0.266,3,0.1,71.8,99,0.59,0.26,0.26
